Question,Answer
What is the escalation process if a Helpdesk operator can't solve my problem?,If the operator can't resolve the issue in 5-15 minutes
What organizations collaborate to provide data for Krishi-DSS?,Krishi-DSS is a collaborative platform using data from the Indian Meteorological Department (IMD)
What is the scale of the National Soil Mapping Programme (NSMP)?,The NSMP inventories soils at a village level on a detailed 1:10
How are soil profiles examined under the NSMP?,A soil profile examination involves digging a pit or a vertical cross-section of soil up to 1-2 meters deep (or until bedrock) to study the properties and characteristics of the soil layers. [cite: 590]
What are 'derivative maps' from the soil survey?,Derivative maps are created from the main soil maps and interpret the data for specific uses. Examples include land capability maps
What is the difference between crop area and crop yield statistics?,Crop area statistics are about the land area on which a crop is sown
How much funding will be provided per CCE under DGCES?,State Agricultural Statistical Authorities (SASAs) will receive ₹1000 per CCE for all completed and approved experiments. [cite: 780]
Can the DGCES incentive of ₹1000 be used for anything else?,Yes
Can a state receive DGCES funds if it is already giving incentives under another program?,No. States must provide an undertaking that they are claiming incentives under a single program only. They cannot claim for both their own program and DGCES. [cite: 785
Will NSSO be funded for supervising CCEs?,Yes
How will payments be made to the primary workers conducting CCEs?,The amount for primary workers
How is the progress of the National Soil Mapping Programme monitored?,Committees will be constituted under the Secretary
How often should the State-level Agri Stack Steering Committee meet?,The steering committee
What is the target for accuracy of Geo-Referenced Village Maps (GRVM)?,The scale and accuracy target for GRVM is set at 1:4000 to ensure reliability and dimensional accuracy. [cite: 331]
What is the Unified Farmer Service Interface (UFSI)?,The Unified Farmer Service Interface (UFSI) is a component of the digital ecosystem that enables various farmer-centric services. The mission includes support for call centers for UFSI. [cite: 114]
What does AI stand for?,AI stands for Artificial Intelligence. [cite: 19]
What does API stand for?,API stands for Application Programming Interface. [cite: 19]
What does CCE stand for?,CCE stands for Crop Cutting Experiments. [cite: 19]
What does DBT stand for?,DBT stands for Direct Benefit Transfer. [cite: 19]
What does DCS stand for?,DCS stands for Digital Crop Survey. [cite: 19]
What does DGCES stand for?,DGCES stands for Digital General Crop Estimation Survey. [cite: 19]
What does DPI stand for?,DPI stands for Digital Public Infrastructure. [cite: 19]
What does GIS stand for?,GIS stands for Geographical Information Systems. [cite: 19]
What does GRVM stand for?,GRVM stands for Geo-referenced Village Maps. [cite: 19]
What does IEC stand for?,IEC stands for Information Education and Communication. [cite: 19]
What does KCC stand for?,KCC stands for Kisan Credit Card. [cite: 19]
What does Krishi-DSS stand for?,Krishi-DSS stands for Krishi - Decision Support System. [cite: 19]
What does ML stand for?,ML stands for Machine Learning. [cite: 19]
What does MNCFC stand for?,MNCFC stands for Mahalanobis National Crop Forecasting Centre. [cite: 19]
What does MSP stand for?,MSP stands for Minimum Support Price. [cite: 19]
What does PMFBY stand for?,PMFBY stands for Pradhan Mantri Fasal Bima Yojana. [cite: 22]
What does PM KISAN stand for?,PM KISAN stands for Pradhan Mantri Kisan Samman Nidhi. [cite: 22]
What does RoR stand for?,RoR stands for Record of Rights (Land Records). [cite: 22]
What does SASA stand for?,SASA stands for State Agricultural Statistical Authority. [cite: 22]
What does ULPIN stand for?,ULPIN stands for Unique Land Parcel Identification Numbers. [cite: 22]
What does UAV stand for?,UAV stands for Unmanned Aerial Vehicle. [cite: 22]
Tell me about AgriStack's support registries.,Various support registries such as a Crop registry
What is the overall vision for digital agriculture in India?,The vision
How will digital identity help me as a farmer?,A digital identity will enable you to authenticate yourself to access benefits and services
How will the mission help with MSP-based procurement?,The trustful data captured digitally
What is the total central government share of the mission's funding?,The total Central Share for the mission over 5 years is ₹1
What is the total state government share of the mission's funding?,The total State Share for the mission over 5 years is ₹877.19 Crores. [cite: 80]
How are administrative expenses for the mission handled?,2.5% of the total project cost will be used for administrative expenses to source manpower and infrastructure for effective implementation at state and central levels. [cite: 88]
What kind of support is given to states for using emerging technologies?,Under the mission
What is FASAL 2.0?,FASAL 2.0 is a project implemented by the Mahalanobis National Crop Forecast Centre (MNCFC) that uses modern digital and geospatial technologies for agricultural forecasting. [cite: 98]
Will the government conduct ground-level data collection?,Yes
Who will supervise the Digital General Crop Estimation Survey?,The mission provides support to the National Sample Survey Office (NSSO) for the independent supervision of the DGCES. [cite: 110]
How will soil mapping be funded?,The mission provides support to the Soil & Land Use Survey of India (SLUSI) for its Soil Fertility and Profile Mapping project. [cite: 111]
What IT infrastructure is being developed under the mission?,IT infrastructure like cloud services
Will existing IT infrastructure be maintained?,Yes
How will startups be involved in the mission?,The mission includes provisions for engaging Start-ups and other private companies for developing innovative solutions in agriculture. [cite: 125]
How does AgriStack give a 360-degree view of a farmer?,By integrating data from various sources like state databases
How does AgriStack help with crop loans?,The Aadhar-verified Farmer ID
How is a state's readiness for the Farmer Registry ensured?,To ensure readiness
Why is a state policy decision on land extent needed for the Farmer Registry?,It is vital for the state to have a policy decision on how to assign land extents to individual farmers explicitly. This is because schemes like the Kisan Credit Card (KCC) require the exact extent of land owned by a farmer. [cite: 214
What is the Unified Land API?,The Unified Land API is an interface that provides owner and owned extent data along with the corresponding Farm ID from the Record of Rights (RoR). It is used to verify a farmer's land claim in real-time. [cite: 234
What is the advantage of linking Aadhaar to a land bucket?,Linking scheme-based Aadhaar data (like from PMFBY or PMKISAN) to a land bucket makes it very easy for farmers to claim their buckets
What happens during the 'Field Activity Planning' stage of the Farmer Registry?,In this stage
What is the purpose of a pilot for the Farmer ID?,A pilot with live farmers is conducted to test the system for providing scheme benefits
What is the role of a State Master Trainer?,A State Master Trainer is responsible for conducting comprehensive training for district-level trainers
What happens in the 'Sustenance' stage of the Farmer Registry?,After the initial rollout (Go-Live)
What is the main objective of Geo-Referenced Village Maps (GRVM)?,The objective of GRVM is to establish a comprehensive database of cadastral maps that are digitally encoded with GIS technology
How will the accuracy of GRVMs be checked?,The Ministry has developed a mobile application that states can use to check the accuracy of the Geo-Referencing for the purpose of Digital Crop Surveys. [cite: 333
What are the specific operational steps for the Digital Crop Survey?,The state must have geo-referenced maps and digitized land records. The survey is done once per season for each plot. Data is captured via a mobile app
What is the role of the Technical Support Team for the DCS?,The Technical Support Team handles complex technical issues escalated from the Help Desk
What organizations will SLUSI collaborate with for the National Soil Mapping Programme?,SLUSI will take the support of other organizations like ICAR
What is the cost-fixing process for the soil survey?,A committee under the chairmanship of DDG
What are the main tasks in the soil survey operational procedure?,The tasks include: satellite data integration
What are the key deliverables of the National Soil Mapping project?,The deliverables are high-resolution spatial data like soil type distribution maps
How does a state get its CCE plan ready for DGCES?,Implementing states are required to generate or upload their Crop Cutting Experiment (CCE) plan for each crop season exclusively on the DGCES web portal
How is DGCES data approved?,The CCE data submitted by primary workers must first be approved by the State Agricultural Statistical Authority (SASA) via the DGCES web portal
What happens if discrepancies are found in the DGCES data by the Ministry?,If the Ministry finds discrepancies
What are the conditions for a state using its own app to get DGCES funding?,The state must prepare its CCE plan according to GCES methodology
What kind of IT support is available to the Department of Agriculture (DA&FW)?,Support is available for upgrading IT infrastructure
What must a state do to get financial assistance for an IT initiative?,An MoU on Digital Public Infrastructure (DPI) between the Centre and the State is essential. The state must then submit a proposal under the Krishonnati Yojana containing a Detailed Project Report (DPR)
How are proposals for state IT initiatives evaluated?,The proposals and DPRs are assessed by the Digital Agriculture Division. They are examined for the use of latest technology
What are the key activities of MNCFC funded under the mission?,Key activities include crop acreage and production estimation under the FASAL scheme
How does a state claim funds for DGCES?,After each season
How is the Krishi-DSS project monitored?,A Project Steering Committee (PSC) chaired by the Additional Secretary (Digital Agriculture) reviews technical documents
How is a state-level committee for DGCES structured?,SASAs shall establish a State-Level Implementation Committee chaired by the SASA Director
How will the government engage with farmer cooperatives?,The IEC plan includes partnering with farmer cooperatives to organize workshops and training sessions on the Digital Agriculture Mission
What are the essential features for a state's own CCE mobile app?,The mobile application must be GPS enabled
What is the overall process for a state to create its Farmer Registry?,The process involves 6 main stages: Stage 1: State's Readiness Assessment -> Stage 2: Provisioning of Record of Rights (RoR) Data -> Stage 3: Land Bucketing -> Stage 4: Field Activity Planning -> Stage 5: Bucket Claiming by Farmers and Issuance of Farmer ID (Go-Live) -> Stage 6: Sustenance and Updation of the Registry Post-Go-Live.
What is the first stage in setting up a state's Farmer Registry?,"""Stage 1 is 'State's Readiness'. This involves: Step 1: Create a joint committee of Revenue and Agriculture officials -> Step 2: Identify a State Nodal Officer and a State Technical Coordinator -> Step 3: Onboard a State Project Management Unit (SPMU) team -> Step 4: Get administrative direction for sharing of Record of Rights (RoR) data. """
What is the process of 'RoR Data Provisioning' for the Farmer Registry?,"""Stage 2 is 'RoR Data Provisioning'. This involves: Step 1: The state generates a unique Farm ID for each land parcel extent -> Step 2: The state shares the Record of Rights (RoR) data through an API or ports it to servers provided by the central government -> Step 3: Data from Aadhaar-authenticated schemes (like State DBT) is also provisioned to help with Aadhaar seeding -> Step 4: A Unified Land API is created to provide land data for verification. """
What happens during the 'Bucketing' stage of creating a Farmer Registry?,"""Stage 3 is 'Bucketing'. This involves: Step 1: A bucketing software tool uses fuzzy logic to group all lands belonging to a farmer based on name matching -> Step 2: PM-KISAN data is used to create draft Farmer IDs to speed up the process -> Step 3: Once bucketing is complete, the bucket data is migrated to the live State Farmer Registry system. """
How does a state plan the 'Field Activity' for issuing Farmer IDs?,"The process is: Step 1: The state identifies pilot districts for the rollout -> Step 2: A campaign strategy is built, defining roles, locations, and infrastructure needed -> Step 3: Master Trainers are identified and trained -> Step 4: User IDs for officials are created and linked to the system with the correct approval workflows. """
What happens during the 'Go-Live' stage of the Farmer Registry?,"""Stage 5 is 'Bucket Claiming and Issuance of Farmer's ID'. The process is: Step 1: Trained state officials enable the bucket claiming and consent collection campaign for all farmers -> Step 2: The Farmer Registry System is integrated with state schemes like KCC and crop insurance via APIs -> Step 3: A pilot is executed where farmers are encouraged to apply for these schemes using their new Farmer ID to avail instant benefits. """
How is the Farmer Registry maintained after the initial rollout?,"Stage 6 is 'Sustenance Post-Go-Live'. This involves: Step 1: Establish a mechanism for automatic updation of the Farmer Registry whenever there is a land mutation in the state's Record of Rights (RoR) -> Step 2: The State builds its own capacity for the long-term sustenance of the registry -> Step 3: The State takes over the independent operation, management, and continuous monitoring of the registry."
Who chairs the State-level Agri Stack Steering Committee?,The State-level Agri Stack Steering Committee is chaired by the Chief Secretary of the state.
Who are the members of the State-level Agri Stack Steering Committee?,"The committee members include the Secretary of Revenue, Secretary of Agriculture, Secretary IT, other related department secretaries, and a representative from the Government of India."
How often is the State-level Agri Stack Implementation Committee supposed to meet?,This committee is responsible for day-to-day implementation and is expected to meet at least once every month.
From which department should the State Nodal Officer for the Farmer Registry preferably be from?,The State Nodal Officer should preferably be from the Revenue Department.
What is the primary role of the Central Program Management Unit (CPMU) Team for the Digital Crop Survey?,"The CPMU Team coordinates between the technical support team, the development team, and the department head. They also track issues, monitor bugs, and manage change requests."
What are the three layers of digitization for Geo-Referenced Village Maps (GRVM)?,"The digitization for GRVM is done in three layers: point, line, and polygon."
What specific Name Match tool is used for the land bucketing process?,The bucketing tool uses a Name Match tool developed by CDAC (Centre for Development of Advanced Computing).
What is the government's policy on intellectual property for state-led IT pilot projects?,"The Centre will co-own the intellectual property that is created during pilot projects, and States/UTs must share the details and outcomes of these pilots."
What undertaking must a state provide to receive funds for DGCES?,States have to provide an undertaking that the funds claimed are the only source of incentives for the primary workers and are not being claimed under any other program.
"According to the IEC plan, how often will press releases be issued?","The plan is for 4 press releases on the key highlights of the mission, which is at least one press release in every quarter."
How often will SMS or WhatsApp messages be sent to farmers regarding the mission?,The IEC plan suggests sending SMS/WhatsApp messages to farmers and beneficiaries once every month.
What is the planned budget for the Digital Crop Survey (DCS) for the year 2024-25?,The component-wise outlay shows a planned budget of ₹1200 crore for the Digital Crop Survey for the year 2024-25.
What is the approved central share for the Krishi-DSS and related integrations for 2023-24?,"The approved central share for 'Krishi DSS, Crop Health and Crop Assessment' for the year 2023-24 was ₹40 crore."
How many soil survey parties does SLUSI currently have?,The Soil and Land Use Survey of India (SLUSI) presently has 52 soil survey parties spread across the country.
What is the annual survey capacity of a single soil survey party?,"Each soil survey party can survey about 1.5 to 2.0 lakh acres annually, depending on the terrain of the study area."
How many villages can a state expect to survey during a DCS season?,"A large-scale DCS operation can involve surveying anywhere from 20,000 to over 1,00,000 villages per state in a tight timeframe."
What is the target for soil mapping in the first year of the program?,"The target for the first year of the National Soil Mapping Programme is to cover 112 districts, which is approximately 110 lakh hectares."
How much agricultural land has SLUSI already surveyed and profiled?,The Soil and Land Use Survey of India has already surveyed and profiled soils in about 29 million hectares of the country.
What kind of IT system preparation is needed by states before a Digital Crop Survey?,"States must have essential IT infrastructure in place, which includes having SSL certificates, adequate bandwidth, and storage requirements ready two weeks before the DCS start date."
What remote support tools are mentioned for the DCS Help Desk?,The guideline mentions that the Help Desk can utilize tools like Team Viewer or AnyDesk to offer remote support to users.
Who chairs the Project Implementation Committee (PIC) for the Krishi-DSS project?,"The Project Implementation Committee (PIC) for Krishi-DSS is constituted under the chairmanship of the Director, MNCFC."
Who chairs the Project Steering Committee (PSC) for Krishi-DSS?,"The Project Steering Committee (PSC) for Krishi-DSS is under the chairpersonship of the Additional Secretary (Digital Agriculture), DA&FW."
What is the 'whole of government' approach mentioned in the document?,"This approach involves participation and collaboration from multiple Ministries, Departments, and organizations working together. The Krishi Decision Support System (Krishi-DSS) is a prime example."
With which organization has collaboration been done for crop yield models in Krishi-DSS?,"Collaboration has been done with the Space Application Center (SAC), Ahmedabad, for the implementation of Crop yield models and drought modules through Krishi-DSS."
What is the WINDS platform?,The WINDS (Weather Information Network and Data Systems) platform is being developed in association with IMD for weather-related information and will be integrated into Krishi-DSS.
What are the three access levels for data in Krishi-DSS?,"The three access levels are: A1 (Central data with open access), A2 (State-specific data with limited access), and A3 (Central and State data with restricted access)."
Who is responsible for providing a user manual for the DCS reference app?,"The Central Government will supply a user manual in English, and the States are responsible for translating it into the local or official language."
What is the role of a District Trainer for the Digital Crop Survey?,District trainers are responsible for supporting crop surveyors and supervisors and helping them resolve issues during the 45-day survey period. Each trainer should oversee no more than 20 surveyors.
What is the first stage in setting up a state's Farmer Registry?,"Stage 1 is 'State's Readiness'. This involves creating a joint committee, identifying a State Nodal Officer, onboarding an SPMU team, and getting administrative direction for sharing RoR data."
What is the process of 'RoR Data Provisioning' for the Farmer Registry?,"This is Stage 2. It involves the state generating a unique Farm ID for each land parcel, sharing the RoR data via API, provisioning data from other Aadhaar-authenticated schemes, and creating a Unified Land API."
What specific support does the mission provide to MNCFC?,"The mission provides support to MNCFC for implementing the FASAL 2.0 project and other projects that use modern digital and geo-spatial technology, so that it can become a centre of excellence."
How are special surveys conducted under the mission?,The mission includes provisions for conducting special surveys with the use of technology by government or private entities.
How will the mission support AI initiatives in agriculture?,The mission will provide funding for specific Artificial Intelligence (AI) initiatives for the agriculture sector.
Can the mission's funds be used to pay the salary of regular government employees?,"No, the guidelines explicitly state that funds received from the Government of India for the Digital Crop Survey will not be used to pay the salary of regular employees."
What is the purpose of the state-level DGCES Implementation Committee?,This committee is established to review the implementation of DGCES every fortnight during each season and share progress updates with the Ministry.
What are the main components of a State Level PMU (SPMU) for DCS?,"An SPMU should comprise administrative staff from agriculture and revenue departments, technical staff for managing databases and systems, and staff for coordinating with the help desk."
What is the role of the Subject Matter Expert (SME) in the DCS helpdesk structure?,The SME is there to offer advanced knowledge and solutions for specialized issues that cannot be resolved by the primary tele-executives or team leaders.
How does the mission support compliance with the Data Governance Quality Index (DGQI)?,The mission provides support for DA&FW's compliance with NITI Aayog's DGQI initiative and various Cyber Security guidelines.
What is the purpose of the 'bucket claim' process?,"The advantage of claiming a 'bucket' is twofold: a farmer doesn't need to remember and claim each land parcel separately, and linking scheme-based Aadhaar to the bucket makes the claiming process easier."
"What is the ""go-live"" stage of the Farmer Registry?","Stage 5 is the ""Go-Live"" stage, where officials participate in the campaign to enable bucket claiming and consent from all farmers across the state, and the system is integrated with schemes like KCC."
How is the Farmer Registry sustained after the initial rollout?,"Stage 6, the 'Sustenance' stage, involves establishing a mechanism for automatic updation of the registry with land record mutations and the state building its own capacity to manage and monitor the system independently."
How is the cost fixed for soil surveys done by partner institutes?,"A committee of the DA&FW, chaired by the DDG of NRM (ICAR), has been constituted to fix the cost norms for the soil survey and mapping work done by partner institutes like State Agricultural Universities."
What are the specific tasks involved in the soil survey fieldwork?,"The fieldwork involves a Soil Profile examination, which is done by digging a pit or a vertical cross-section of the soil up to 1-2 meters deep to study the properties and characteristics of the soil."
What kind of soil property attributes will be included in the soil maps?,"The maps will contain attributes like slope, soil depth, texture, structure, pH, EC, organic matter content, cation exchange capacity, and nutrient levels."
What is the first thing a state must do to get funding for a new IT project?,An MoU on Digital Public Infrastructure (DPI) between the Centre and the State is essential for the State to obtain financial assistance for an IT initiative project.
Who acts as the project nodal officer for state IT initiatives?,"The Principal Secretary, Production Commissioner, Secretary, or Director (Agriculture) will act as the project nodal officer for the state's IT initiatives."
What must a state IT project proposal contain?,"The proposal, submitted under the Krishonnati Yojana, must contain the Detailed Project Report (DPR), financial implications, timelines, and the technologies involved."
What is a 'State Aadhaar-seeded Database' (SASDB)?,"This is an abbreviation listed in the document, referring to a state-level database where farmer details are linked with their Aadhaar numbers."
What is the 'Unified Farmer Service Interface' (UFSI)?,The UFSI is a platform for delivering farmer-centric services. The mission includes funding for call centres to support this interface.
Where are the seven regional centres of SLUSI located?,"The seven regional centres of the Soil and Land Use Survey of India (SLUSI) are located in Ahmedabad, Bengaluru, Hyderabad, Kolkata, Nagpur, Noida, and Ranchi."
What happens during the 'pre-field interpretation map' stage of soil mapping?,"This stage involves preparing a soil physiography map and a pre-field interpretation map, which helps in preparing for the actual soil survey and fieldwork."
What is the process for a state to get geo-referenced village maps (GRVM) funded under the mission?,The state can send a detailed proposal for GRVM under the IT initiatives component through the Annual Action Plan of Krishonnati Yojana. Funds can then be provided through the mission to establish these maps.
How will a 'social media campaign' be used to promote the mission?,"The plan includes a 7-day social media campaign every quarter to promote and showcase achievements, post photos from the ground, and share videos or interviews with stakeholders."
What is the purpose of the 'online quiz' mentioned in the IEC plan?,"An online quiz and 'Krishi competitions' are planned to be played at event sites, with prizes distributed, to generate awareness and engagement, especially during the 'Digital Krishi Diwas'."
What is the role of the State Agricultural Statistical Authority (SASA) in DGCES?,The SASA in each State or Union Territory serves as the nodal department for implementing and coordinating the Digital GCES in their respective state.
How is the CCE plan for DGCES created?,"States must prepare a Crop Cutting Experiment (CCE) plan for all major and minor crops at the start of each season, strictly adhering to the GCES methodology, and enter it into the DGCES web portal."
Can a state correct errors in CCE data submitted by primary workers?,"Yes, before approval, SASAs must verify the data. They may correct data in specific fields, provided they include justifications and upload supporting documents."
What happens if a CCE is rejected?,Rejected experiments will not be included in the final yield estimation.
What is the 'NeGP-A' scheme and what happened to it?,"The National e-Governance Plan in Agriculture (NeGP-A), a scheme launched in 2010-11, has been subsumed into the Digital Agriculture Mission."
How is the Farmer Registry linked to land records?,"The Farmer Registry must be dynamically linked to the land records to ensure it is updated with every land mutation, keeping the information current."
What are the two ways a farmer can register for the Farmer Registry?,"A farmer can either register themselves directly (or with assistance), followed by authentication from an official, OR they can be authenticated directly by officials at camps organised at the village level."
How does the mission support the development of reference applications?,The mission supports the development of reference applications for the Centre by states or other entities. 100% of the funds for such projects will be released.
How will the mission provide capacity building for officials?,The mission includes funding for the capacity building of both Centre and State officials in using new and emerging technologies.
What is the purpose of a 'Project Monitoring Unit' (PMU) at the central level?,The mission includes funding for setting up Project Monitoring Units (PMUs) in the Centre to help implement the Digital Public Infrastructure and related initiatives.
Who provides the tool to generate the Farm ID?,The Central team will provide a utility for the generation of the Farmland Plot ID (Farm ID). The state can use this utility as is or customize it.
What is the role of the Unified Land API in the Farmer Registry?,"The Unified Land API is used to cross-verify a farmer's bucket claim with the Record of Rights (RoR) database in real time, confirming land ownership with a simple Yes/No response."
How is the hardware for the land bucketing process managed?,"Since bucketing is very hardware-intensive, the Centre has a dedicated team and infrastructure available for this one-time activity, which states can choose to use if they have capacity constraints."
What are some of the user groups for the Krishi-DSS platform?,"Different user groups have varying access levels. Farmers can access their own farm-specific data, while government officials will have access to aggregated data for policymaking."
What is the goal of the DGCES in terms of standardization?,DGCES aims to standardize the Crop Cutting Experiments (CCEs) across the country by using a common digital platform.
What is the 'Krishonnati Yojana' and how does it relate to this mission?,Krishonnati Yojana is an umbrella scheme for agricultural development. States must submit their proposals for DCS or IT initiatives as part of their Annual Action Plan under this yojana.
What is the role of the Integrated Finance Division (IFD) of DA&FW?,"The concurrence of the IFD is required before funds can be released for various projects, such as IT initiatives and support to academic institutions, ensuring financial oversight."
What is the role of the Director of MNCFC in the Krishi-DSS project?,"The Director of MNCFC is the designated nodal officer for the conceptualization, development, operation, and maintenance of the Krishi-DSS platform."
Will the mission support sending advisories through new technologies?,"Yes, the mission supports sending advisories to farmers through SMS, mobile applications, and also mentions 'new social media communication technologies'."
What are some examples of 'support registries' in AgriStack?,"Besides the three foundational registries, various support registries are also being built, such as a Crop registry, seed registry, fertiliser registry, and pest registry."
How will the mission help in making crop diversification more effective?,"The digitally captured crop-sown data and remote-sensing data will help in accurate crop area estimation, which in turn helps in planning for crop diversification and evaluating irrigation needs."
